Series Title,Years,Rating,Genre
Loki,(2021– ),8.5,"Action, Adventure, Fantasy            "
Rick and Morty,(2013– ),9.2,"Animation, Adventure, Comedy            "
The Witcher,(2019– ),8.2,"Action, Adventure, Fantasy            "
Game of Thrones,(2011–2019),9.2,"Action, Adventure, Drama            "
The Walking Dead,(2010–2022),8.2,"Drama, Horror, Thriller            "
The Handmaid's Tale,(2017– ),8.4,"Drama, Sci-Fi, Thriller            "
Stranger Things,(2016– ),8.7,"Drama, Fantasy, Horror            "
Grey's Anatomy,(2005– ),7.5,"Drama, Romance            "
American Horror Story,(2011– ),8.0,"Drama, Horror, Thriller            "
The Sopranos,(1999–2007),9.2,"Crime, Drama            "
Lucifer,(2016– ),8.1,"Crime, Drama, Fantasy            "
Friends,(1994–2004),8.9,"Comedy, Romance            "
Peaky Blinders,(2013– ),8.8,"Crime, Drama            "
Breaking Bad,(2008–2013),9.4,"Crime, Drama, Thriller            "
The Boys,(2019– ),8.7,"Action, Crime, Drama            "
The Flash,(2014– ),7.6,"Action, Adventure, Drama            "
Criminal Minds,(2005–2020),8.0,"Crime, Drama, Mystery            "
The Office,(2005–2013),8.9,Comedy            
Vikings,(2013–2020),8.5,"Action, Adventure, Drama            "
The Mandalorian,(2019– ),8.8,"Action, Adventure, Sci-Fi            "
Supernatural,(2005–2020),8.4,"Drama, Fantasy, Horror            "
The Blacklist,(2013– ),8.0,"Crime, Drama, Mystery            "
Modern Family,(2009–2020),8.4,"Comedy, Drama, Romance            "
NCIS: Naval Criminal Investigative Service,(2003– ),7.7,"Action, Crime, Drama            "
Dexter,(2006–2021),8.6,"Crime, Drama, Mystery            "
Downton Abbey,(2010–2015),8.7,"Drama, Romance            "
Brooklyn Nine-Nine,(2013–2022),8.4,"Comedy, Crime            "
Shingeki no kyojin,(2013–2022),9.0,"Animation, Action, Adventure            "
The Big Bang Theory,(2007–2019),8.1,"Comedy, Romance            "
Better Call Saul,(2015– ),8.8,"Crime, Drama            "
Lost,(2004–2010),8.3,"Adventure, Drama, Fantasy            "
The Crown,(2016– ),8.6,"Biography, Drama, History            "
Outlander,(2014– ),8.4,"Drama, Fantasy, Romance            "
La casa de papel,(2017–2021),8.3,"Action, Crime, Mystery            "
Doctor Who,(2005– ),8.6,"Adventure, Drama, Family            "
It's Always Sunny in Philadelphia,(2005– ),8.8,Comedy            
Black Mirror,(2011– ),8.8,"Drama, Sci-Fi, Thriller            "
Ozark,(2017– ),8.4,"Crime, Drama, Thriller            "
The Wire,(2002–2008),9.3,"Crime, Drama, Thriller            "
Fargo,(2014– ),8.9,"Crime, Drama, Thriller            "
Shameless,(2011–2021),8.5,"Comedy, Drama            "
How I Met Your Mother,(2005–2014),8.3,"Comedy, Romance            "
Community,(2009–2015),8.5,Comedy            
Bones,(2005–2017),7.8,"Comedy, Crime, Drama            "
House M.D.,(2004–2012),8.7,"Drama, Mystery            "
The Vampire Diaries,(2009–2017),7.7,"Drama, Fantasy, Horror            "
Gossip Girl,(2007–2012),7.4,"Drama, Romance            "
Westworld,(2016– ),8.6,"Drama, Mystery, Sci-Fi            "
Sons of Anarchy,(2008–2014),8.5,"Crime, Drama, Thriller            "
Suits,(2011–2019),8.4,"Comedy, Drama            "
